Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Tuesday,NA,O,7,male,Pin.Blu,2,2,HA_C4,Control,a6843,NA,1260.94,7.00538,9.03802,20335.5,8.00E-02,0.159996,15.2796,121.757,5.27987,5.91985,9.43976,6.63983,9.43976,6.23984,141.436,15.4396,23.1194,179.995,163.836
Aggression,Tuesday,NA,J,2,female,Whi.Whi,3,1,HA_C4,Control,a7661,NA,1368.96,7.60553,7.85812,17680.8,8.00E-02,0.079998,26.8793,120.797,3.51991,3.51991,5.35987,10.9597,5.35987,3.59991,155.756,11.0397,13.1997,179.995,167.836
Aggression,Tuesday,NA,K,3,female,Gre.Yel,3,1,HA_C4,Control,a6971,NA,1210.42,6.72473,7.86607,17698.6,0.159996,0.159996,21.8395,124.877,4.71988,6.79983,7.9998,8.0798,0,5.67986,152.076,16.4796,11.4397,179.995,170.156
Aggression,Tuesday,NA,N,6,female,Bro.Ora,3,2,HA_T4,Treatment,a7439,NA,345.372,1.91878,5.25505,11823.9,0.110766,2.87993,0.319992,173.756,0.319992,0.239994,0.639984,0.319992,3.9199,0.479988,174.236,0.879978,4.87988,179.995,70.9582
Aggression,Tuesday,NA,O,7,male,Whi.Pur,3,2,HA_T4,Treatment,a7180,NA,854.384,4.7467,9.565,21521.2,10.0477,50.2387,43.5189,106.637,4.55989,4.79988,6.95983,7.11982,2.31994,4.0799,155.196,13.0397,11.7597,179.995,99.9975
Aggression,Tuesday,NA,J,2,male,_.Red,4,1,HA_T4,Treatment,a8057,NA,1254.44,6.96929,4.86893,10955.1,14.2796,28.5593,24.4794,153.036,0,0,0,2.47994,0,0,179.995,0,0,179.995,137.757
Aggression,Tuesday,NA,K,3,female,Bro.Whi,4,1,HA_T4,Treatment,a7358,NA,4.34565,0.0241431,34.3051,77186.4,89.3178,178.636,0,0,0,0,0,0,179.995,0,0,0,179.995,179.995,0
Aggression,Tuesday,NA,N,6,female,Yel.Blu,4,2,HA_T4,Treatment,a7214,NA,594.35,3.30203,7.48765,16847.2,2.95993,26.6393,27.5193,129.117,2.63993,2.23994,6.31984,2.71993,6.39984,3.03992,158.556,6.55984,14.8796,179.995,83.7579
Aggression,Tuesday,NA,O,7,male,Whi.Ora,4,2,HA_T4,Treatment,a7646,NA,1523.77,8.46562,10.052,22616.9,-,0,30.1592,97.2776,6.63983,8.23979,14.3196,9.99975,4.87988,8.47979,134.877,20.2395,24.8794,179.995,175.596
Aggression,Tuesday,NA,J,2,male,Gre.Pur,5,1,HA_T4,Treatment,a7297,NA,412.77,2.29323,10.0169,22538.1,63.5584,127.117,36.5591,15.6796,2.07995,2.95993,0.239994,121.197,0,1.27997,171.836,6.95983,1.19997,179.995,48.0788
Aggression,Tuesday,NA,K,3,male,Gre.Bro,5,1,HA_T4,Treatment,a7018,NA,1332.52,7.40306,13.1732,29639.7,-,0,34.9591,32.9592,27.0393,29.1193,7.75981,35.6791,0,12.4797,92.1577,73.1182,14.7196,179.995,163.356
Aggression,Tuesday,NA,N,6,female,Ora.Whi,5,2,HA_T4,Treatment,a7409,NA,282.314,1.56845,4.81788,10840.2,4.08931,69.5183,1.11997,177.116,0,0.639984,0,1.11997,0,0,178.876,1.11997,0,179.995,57.3586
Aggression,Tuesday,NA,O,7,female,Red.Gre,5,2,HA_T4,Treatment,a7562,NA,407.746,2.26531,2.91342,6555.21,0.11692,1.51996,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,100.157
Aggression,Tuesday,NA,J,2,male,Yel._,6,1,HA_C1,Control,a7475,NA,879.245,4.88482,20.4974,46119,1.67996,20.1595,18.5595,17.0396,25.5194,11.6797,53.1987,15.1196,0.39999,38.479,45.7589,54.3986,79.838,179.995,101.757
Aggression,Tuesday,NA,K,3,female,Bro.Bla,6,1,HA_C1,Control,a7082,NA,584.884,3.24943,5.98373,13463.4,18.6075,93.0377,7.59981,161.996,1.27997,1.27997,3.75991,1.51996,1.03997,1.51996,170.636,3.43991,5.91985,179.995,71.9982
Aggression,Tuesday,NA,N,6,male,Red.Ora,6,2,HA_C1,Control,a7614,NA,1347.27,7.48502,9.9496,22386.6,8.00E-02,0.159996,33.1992,87.0378,8.0798,8.71978,12.8797,15.0396,5.91985,9.11977,131.437,23.5194,25.0394,179.995,165.356
Aggression,Tuesday,NA,O,7,female,Yel.Red,6,2,HA_C1,Control,a8068,NA,1349.89,7.51296,8.97816,20173.9,-,0,16.2396,120.557,5.35987,6.23984,6.23984,9.27977,10.4797,5.59986,143.036,16.3196,20.6395,179.995,160.236
Aggression,Tuesday,NA,J,2,male,Bro.Bro,7,1,HA_C1,Control,a7720,NA,1369.5,7.60852,8.63388,19426.2,-,0,25.8394,109.757,6.95983,10.7197,6.47984,13.1197,0.79998,6.23984,143.676,24.5594,11.6797,179.995,172.716
Aggression,Tuesday,NA,K,3,female,Gre.Gre,7,1,HA_C1,Control,a7698,NA,1594.79,8.86017,8.27071,18609.1,8.00E-02,0.079998,18.3995,124.077,4.47989,6.31984,7.19982,6.63983,8.1598,4.71988,146.876,14.6396,18.4795,179.995,174.556
Aggression,Tuesday,NA,N,6,male,Gre.Yel,7,2,HA_C1,Control,a6859,NA,1190.15,6.6121,8.68688,19545.5,0.431989,2.15995,44.1589,88.2378,8.1598,8.1598,5.03987,16.6396,0,9.59976,144.876,23.2794,11.8397,179.995,157.996
Aggression,Tuesday,NA,O,7,male,Red.Yel,7,2,HA_C1,Control,a7563,NA,1671.65,9.28718,12.8019,28804.3,-,0,28.8793,63.2784,13.5197,15.1996,20.3195,20.9595,2.63993,15.1996,106.637,39.839,33.5192,179.995,177.196
Aggression,Tuesday,NA,J,2,male,Pin.Ora,8,1,HA_C1,Control,a7555,NA,1055.24,5.8626,7.11879,16017.3,8.00E-02,0.079998,36.0791,110.957,4.63988,7.8398,1.59996,15.5996,0,3.27992,157.996,18.3995,3.59991,179.995,167.116
Aggression,Tuesday,NA,K,3,male,Red.Pin,8,1,HA_C1,Control,a6985,NA,843.905,4.68848,14.09,31702.5,4.03626,44.3989,6.63983,97.3576,2.79993,2.55994,25.4394,3.03992,5.59986,36.5591,106.077,7.43981,66.4783,179.995,105.037
Aggression,Tuesday,NA,N,6,male,Ora.Pur,8,2,HA_T1,Treatment,a7062,NA,619.467,3.44157,16.1861,36418.8,2.25772,20.3195,18.7995,82.6379,3.51991,3.51991,34.7191,8.87978,20.4795,7.43981,107.677,11.2797,60.9585,179.995,101.357
Aggression,Tuesday,NA,O,7,male,Ora._,8,2,HA_T1,Treatment,a7155,NA,1132.54,6.29206,9.86117,22187.6,0.319992,0.639984,39.439,61.9984,14.0796,16.2396,0.719982,37.5991,0,9.91975,131.197,42.4789,6.31984,179.995,161.516
Aggression,Tuesday,NA,J,2,female,Bla.Pur,9,1,HA_T1,Treatment,a6925,NA,645.597,3.58674,6.68439,15039.9,1.95195,9.75976,106.397,65.9184,0,0,0,7.67981,0,0,179.995,0,0,179.995,112.157
Aggression,Tuesday,NA,K,3,female,Ora.Ora,9,1,HA_T1,Treatment,a7379,NA,1465.85,8.14384,8.53185,19196.7,0.159996,0.159996,15.7596,122.157,6.31984,6.39984,10.7997,8.1598,2.31994,8.0798,143.276,17.9995,18.7195,179.995,163.436
Aggression,Tuesday,NA,N,6,male,Bro.Whi,9,2,HA_T1,Treatment,a7723,NA,811.189,4.50672,3.65888,8232.47,14.8263,44.4789,19.5995,159.836,0,0,0,0.559986,0,0,179.995,0,0,179.995,115.917
Aggression,Tuesday,NA,O,7,female,Red.Pin,9,2,HA_T1,Treatment,a6894,NA,415.571,2.30879,31.9468,71880.2,6.26808,106.557,1.43996,9.75976,2.15995,0.959976,11.5197,0.879978,150.316,2.95993,11.7597,4.0799,164.156,179.995,40.879
Aggression,Tuesday,NA,J,2,female,Bro.Bro,10,1,HA_T1,Treatment,a7662,NA,875.217,4.86244,5.14055,11566.2,0.159996,0.479988,9.83975,152.476,3.27992,3.59991,2.39994,5.51986,0.639984,2.15995,166.076,9.27977,4.55989,179.995,141.356
Aggression,Tuesday,NA,K,3,male,Gre.Bro,10,1,HA_T1,Treatment,a7683,NA,1091.6,6.06458,26.9995,60748.8,5.94652,53.5187,2.39994,2.87993,13.9197,12.3197,80.958,5.35987,10.7997,51.3587,7.75981,35.1991,137.037,179.995,99.0375
Aggression,Tuesday,NA,N,6,male,Red.Whi,10,2,HA_T1,Treatment,a6991,NA,631.871,3.51048,5.92189,13324.3,8.00E-02,0.159996,20.9595,146.716,3.03992,3.35992,0,5.59986,0,0.319992,171.916,8.0798,0,179.995,130.077
Aggression,Tuesday,NA,O,7,female,Gre.Gre,10,2,HA_T1,Treatment,a7292,NA,1606.32,8.92421,11.2893,25401,8.00E-02,0.079998,32.5592,60.3185,15.1196,18.7995,12.3197,25.9194,0.559986,14.3996,109.837,48.6388,21.5195,179.995,176.156
Aggression,Wednesday,NA,J,2,male,Red.Bro,1,1,HA_C2,Control,a7474,NA,1591.13,8.83981,11.1064,24989.4,0.279993,0.559986,26.7993,100.317,5.75986,4.31989,22.0794,6.87983,5.43986,8.39979,131.437,15.1196,33.4392,179.995,165.036
Aggression,Wednesday,NA,K,3,male,Pur._,1,1,HA_C2,Control,a7056,NA,772.23,4.29027,4.94237,11120.3,8.00E-02,0.159996,28.1593,143.116,1.11997,0.79998,1.11997,4.31989,0,1.35997,175.196,2.95993,1.83995,179.995,157.756
Aggression,Wednesday,NA,N,6,female,Blu.Yel,1,2,HA_C2,Control,a6881,NA,1066.94,5.92759,6.18654,13919.7,8.00E-02,0.239994,15.0396,146.236,1.75996,2.87993,4.23989,5.75986,0.639984,3.19992,165.196,7.27982,7.27982,179.995,145.116
Aggression,Wednesday,NA,O,7,male,Gre.Gre,1,2,HA_C2,Control,a7688,NA,1348.19,7.49011,5.33264,11998.4,8.00E-02,0.079998,13.9197,155.436,1.27997,1.27997,2.47994,2.47994,1.59996,1.51996,171.356,3.67991,4.95988,179.995,168.716
Aggression,Wednesday,NA,J,2,male,Bro.Pur,2,1,HA_C2,Control,a7729,NA,634.905,3.52734,5.88405,13239.1,13.8397,69.1983,8.39979,162.556,1.67996,1.35997,1.67996,1.91995,0.639984,1.75996,172.316,4.0799,3.59991,179.995,94.3176
Aggression,Wednesday,NA,K,3,male,Blu.Blu,2,1,HA_C2,Control,a7006,NA,1204.19,6.69013,9.47461,21317.9,0.735982,3.67991,40.079,99.6775,5.19987,4.79988,10.9597,8.39979,5.51986,5.35987,145.436,14.6396,19.9195,179.995,154.556
Aggression,Wednesday,NA,N,6,female,_.Pin,2,2,HA_C2,Control,a7549,NA,404.263,2.24596,4.57319,10289.7,0.119997,1.91995,3.9199,173.836,0,0.319992,0,1.91995,0,0,179.596,0.39999,0,179.995,85.0379
Aggression,Wednesday,NA,O,7,male,Ora.Yel,2,2,HA_C2,Control,a7153,NA,2158.73,11.9932,12.9529,29143.9,7.41315,22.2394,50.2387,47.7588,13.5197,13.7597,14.3196,23.6794,2.07995,14.6396,116.157,37.1991,26.6393,179.995,143.116
Aggression,Wednesday,NA,J,2,male,Ora.Bro,3,1,HA_C2,Control,a6967,NA,687.104,3.81734,5.65604,12726.1,30.9326,92.7977,11.0397,162.396,1.35997,1.43996,0.559986,2.63993,0,0.559986,175.436,3.59991,0.959976,179.995,76.9581
Aggression,Wednesday,NA,K,3,male,Whi.Yel,3,1,HA_C2,Control,a7370,NA,479.699,2.66506,5.0634,11392.6,0.101816,1.11997,8.23979,171.756,0,0,0,0,0,0,179.995,0,0,179.995,115.997
Aggression,Wednesday,NA,N,6,female,Red.Ora,3,2,HA_T2,Treatment,a7089,NA,342.478,1.9027,13.1673,29626.5,23.2528,139.517,124.717,12.3197,12.1597,1.43996,4.1599,2.23994,0,22.9594,138.557,15.5196,25.9194,179.995,32.2392
Aggression,Wednesday,NA,O,7,male,Bro.Gre,3,2,HA_T2,Treatment,a7724,NA,2216.25,12.3128,13.8955,31265,-,0,36.6391,52.7187,16.7196,13.3597,23.3594,18.0795,2.63993,16.4796,102.077,41.199,36.7191,179.995,175.756
Aggression,Wednesday,NA,J,2,male,Wh.Pin,4,1,HA_T2,Treatment,a7375,NA,1093.15,6.07322,16.654,37471.4,40.479,40.479,22.6394,57.4386,5.27987,7.9998,19.1995,10.7997,4.95988,51.6787,87.1178,19.2795,73.5982,179.995,119.757
Aggression,Wednesday,NA,K,3,female,Pin.Pin,4,1,HA_T2,Treatment,a6840,NA,417.08,2.31717,28.744,64673.9,9.31613,102.477,3.27992,4.23989,3.75991,1.99995,130.397,1.19997,5.99985,29.1193,8.31979,7.9198,163.756,179.995,36.1591
Aggression,Wednesday,NA,N,6,male,Pur._,4,2,HA_T2,Treatment,a7167,NA,483.319,2.68517,5.97941,13453.7,38.119,76.2381,34.2391,136.397,1.67996,1.27997,1.75996,2.63993,0,1.99995,172.636,4.39989,2.95993,179.995,64.4784
Aggression,Wednesday,NA,O,7,male,Blu.Bla,4,2,HA_T2,Treatment,a7461,NA,1472.38,8.18012,10.0907,22704,-,0,16.9596,119.197,5.19987,5.03987,10.3997,5.51986,11.1997,6.47984,139.757,14.4796,25.7594,179.995,167.276
Aggression,Wednesday,NA,J,2,male,Pin._,5,1,HA_T2,Treatment,a7054,NA,538.72,2.99296,4.81798,10840.5,7.63536,68.7183,9.67976,157.036,1.59996,2.47994,1.83995,4.95988,0.239994,2.15995,169.836,6.55984,3.59991,179.995,66.3983
Aggression,Wednesday,NA,K,3,female,Blu.Ora,5,1,HA_T2,Treatment,a6883,NA,1949.2,10.8291,9.4978,21370,-,0,21.5195,109.917,7.19982,6.79983,14.7196,8.71978,2.23994,8.87978,137.757,19.7595,22.4794,179.995,173.116
Aggression,Wednesday,NA,N,6,female,Pin.Blu,5,2,HA_T2,Treatment,a7288,NA,266.375,1.4799,4.65247,10468.1,0.159996,3.51991,1.83995,178.156,0,0,0,0,0,0,179.995,0,0,179.995,46.6388
Aggression,Wednesday,NA,O,7,male,Red.Red,5,2,HA_T2,Treatment,a7570,NA,699.239,3.88476,12.2839,27638.8,18.1595,54.4786,19.1995,44.5589,14.5596,7.19982,8.31979,79.518,0.719982,5.91985,110.957,56.6386,12.3997,179.995,90.2377
Aggression,Wednesday,NA,J,2,female,_.Pin,6,1,HA_C3,Control,a7279,NA,1779.95,9.88887,12.7857,28767.9,1.59996,1.59996,26.2393,78.238,8.95978,8.95978,20.3195,14.8796,9.11977,13.2797,114.317,26.3193,39.359,179.995,167.196
Aggression,Wednesday,NA,K,3,female,Red.Pin,6,1,HA_C3,Control,a7044,NA,1786.14,9.92325,8.87871,19977.1,8.00E-02,0.079998,16.3996,122.237,5.83985,5.19987,12.3197,7.27982,3.67991,7.03982,143.596,15.8396,20.5595,179.995,166.796
Aggression,Wednesday,NA,N,6,female,Pin.Gre,6,2,HA_C3,Control,a6845,NA,776.711,4.31517,6.84216,15394.9,1.46663,4.39989,42.7989,109.997,1.35997,1.75996,6.07985,16.1596,0,1.83995,166.236,6.39984,7.35982,179.995,143.836
Aggression,Wednesday,NA,O,7,male,Bro.Ora,6,2,HA_C3,Control,a7361,NA,939.461,5.21936,8.35729,18803.9,20.4795,61.4385,86.1578,61.5185,5.43986,6.23984,2.31994,12.9597,0,5.35987,157.116,16.9596,5.91985,179.995,109.437
Aggression,Wednesday,NA,J,2,male,Red.Bro,7,1,HA_C3,Control,a7564,NA,492.647,2.737,7.75287,17444,9.69119,67.8383,20.6395,98.9575,2.15995,1.35997,4.71988,49.8388,0,2.31994,166.316,7.35982,6.31984,179.995,85.9978
Aggression,Wednesday,NA,K,3,male,Gre._,7,1,HA_C3,Control,a7017,NA,1260.51,7.003,9.24806,20808.1,2.10995,16.8796,19.8395,113.517,5.99985,6.63983,13.4397,11.1197,0.959976,8.47979,141.276,18.8795,19.8395,179.995,132.157
Aggression,Wednesday,NA,N,6,female,Blu.Pur,7,2,HA_C3,Control,a6813,NA,184.423,1.0246,4.45042,10013.4,0.455989,13.6797,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,24.3194
Aggression,Wednesday,NA,O,7,female,Red.Whi,7,2,HA_C3,Control,a7322,NA,345.381,1.91883,2.75838,6206.36,0.146663,1.75996,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,77.0381
Aggression,Wednesday,NA,J,2,female,Pin.Blu,8,1,HA_C3,Control,a7552,NA,832.068,4.62271,7.10839,15993.9,-,0,48.9588,93.2777,1.43996,5.11987,2.15995,27.4393,0,1.59996,164.716,11.9997,3.27992,179.995,156.796
Aggression,Wednesday,NA,K,3,male,Bla.Pin,8,1,HA_C3,Control,a8043,NA,1165.82,6.47695,17.0428,38346.3,2.27423,15.9196,19.2795,47.8388,31.1992,7.9998,32.7992,9.99975,2.15995,28.7193,74.0781,65.3584,40.559,179.995,118.877
Aggression,Wednesday,NA,O,7,female,Whi.Whi,8,2,HA_T3,Treatment,a7640,NA,1631.03,9.06151,9.46726,21301.3,-,0,30.3192,99.3575,7.35982,7.51981,9.75976,15.9196,2.23994,7.51981,141.196,21.9994,16.7996,179.995,171.916
Aggression,Wednesday,NA,J,2,male,_.Ora,9,1,HA_T3,Treatment,a7414,NA,1405.11,7.80637,9.45906,21282.9,-,0,41.119,78.558,10.5597,14.2396,9.91975,17.4396,1.19997,6.95983,132.797,31.2792,15.9196,179.995,176.636
Aggression,Wednesday,NA,K,3,female,Red.Red,9,1,HA_T3,Treatment,a8063,NA,828.656,4.60376,26.8797,60479.3,2.85593,28.5593,11.1197,10.0797,5.35987,3.27992,99.9975,3.9999,6.31984,39.839,23.8394,13.0397,143.116,179.995,108.877
Aggression,Wednesday,NA,N,6,male,Blu.Pin,9,2,HA_T3,Treatment,a6882,arena 6 tablet had pop up,982.314,5.45743,7.48059,16831.3,9.27977,37.1191,7.8398,148.076,3.27992,3.03992,7.03982,3.9999,2.55994,4.1599,158.876,8.55979,12.5597,179.995,106.157
